algoritmo,n,t,d,m,tiempo_us,memoria_kb
patiencesort,1000,descendente,D1,c,108,2488
stdsort,1000,descendente,D7,a,30,2488
mergesort,1000,descendente,D7,a,41,2488
quicksort,1000,descendente,D7,a,11,2488
patiencesort,1000,descendente,D7,a,32,2488
stdsort,1000,descendente,D7,b,12,2488
mergesort,1000,descendente,D7,b,56,2488
quicksort,1000,descendente,D7,b,31,2488
patiencesort,1000,descendente,D7,b,60,2488
stdsort,1000,descendente,D7,c,21,2488
mergesort,1000,descendente,D7,c,35,2488
quicksort,1000,descendente,D7,c,11,2488
patiencesort,1000,descendente,D7,c,37,2488
stdsort,10,aleatorio,D1,a,6,2488
mergesort,10,aleatorio,D1,a,5,2488
quicksort,10,aleatorio,D1,a,0,2488
patiencesort,10,aleatorio,D1,a,22,2488
stdsort,10,aleatorio,D1,b,35,2488
mergesort,10,aleatorio,D1,b,5,2488
quicksort,10,aleatorio,D1,b,0,2488
patiencesort,10,aleatorio,D1,b,7,2488
stdsort,10,aleatorio,D1,c,32,2488
mergesort,10,aleatorio,D1,c,2,2488
quicksort,10,aleatorio,D1,c,0,2488
patiencesort,10,aleatorio,D1,c,35,2488
stdsort,10,aleatorio,D7,a,28,2488
mergesort,10,aleatorio,D7,a,6,2488
quicksort,10,aleatorio,D7,a,1,2488
patiencesort,10,aleatorio,D7,a,3,2488
stdsort,10,aleatorio,D7,b,38,2488
mergesort,10,aleatorio,D7,b,3,2488
quicksort,10,aleatorio,D7,b,1,2488
patiencesort,10,aleatorio,D7,b,3,2488
stdsort,10,aleatorio,D7,c,39,2488
mergesort,10,aleatorio,D7,c,2,2488
quicksort,10,aleatorio,D7,c,1,2488
patiencesort,10,aleatorio,D7,c,3,2488
stdsort,10,ascendente,D1,a,5,2488
mergesort,10,ascendente,D1,a,4,2488
quicksort,10,ascendente,D1,a,0,2488
patiencesort,10,ascendente,D1,a,13,2488
stdsort,10,ascendente,D1,b,18,2488
mergesort,10,ascendente,D1,b,1,2488
quicksort,10,ascendente,D1,b,1,2488
patiencesort,10,ascendente,D1,b,9,2488
stdsort,10,ascendente,D1,c,6,2488
mergesort,10,ascendente,D1,c,2,2488
quicksort,10,ascendente,D1,c,1,2488
patiencesort,10,ascendente,D1,c,4,2488
stdsort,10,ascendente,D7,a,36,2488
mergesort,10,ascendente,D7,a,1,2488
quicksort,10,ascendente,D7,a,1,2488
patiencesort,10,ascendente,D7,a,4,2488
stdsort,10,ascendente,D7,b,17,2488
mergesort,10,ascendente,D7,b,10,2488
quicksort,10,ascendente,D7,b,0,2488
patiencesort,10,ascendente,D7,b,12,2488
stdsort,10,ascendente,D7,c,6,2488
mergesort,10,ascendente,D7,c,5,2488
