algoritmo,n,t,d,m,tiempo_us,memoria_kb
strassen,16,densa,D0,c,22,2528
naive,16,densa,D10,a,49,2528
strassen,16,densa,D10,a,23,2528
naive,16,densa,D10,b,6,2528
strassen,16,densa,D10,b,22,2528
naive,16,densa,D10,c,6,2528
strassen,16,densa,D10,c,17,2528
naive,16,diagonal,D0,a,9,2528
strassen,16,diagonal,D0,a,25,2528
naive,16,diagonal,D0,b,9,2528
strassen,16,diagonal,D0,b,24,2528
naive,16,diagonal,D0,c,9,2528
strassen,16,diagonal,D0,c,23,2528
naive,16,diagonal,D10,a,9,2528
strassen,16,diagonal,D10,a,23,2528
naive,16,diagonal,D10,b,9,2528
strassen,16,diagonal,D10,b,25,2528
naive,16,diagonal,D10,c,12,2528
strassen,16,diagonal,D10,c,25,2528
naive,16,dispersa,D0,a,9,2528
strassen,16,dispersa,D0,a,24,2528
naive,16,dispersa,D0,b,10,2528
strassen,16,dispersa,D0,b,23,2528
naive,16,dispersa,D0,c,10,2528
strassen,16,dispersa,D0,c,21,2528
naive,16,dispersa,D10,a,9,2528
strassen,16,dispersa,D10,a,24,2528
naive,16,dispersa,D10,b,24,2528
strassen,16,dispersa,D10,b,23,2528
naive,16,dispersa,D10,c,10,2528
strassen,16,dispersa,D10,c,26,2528
naive,256,densa,D0,a,8844,4136
strassen,256,densa,D0,a,18440,5544
naive,256,densa,D0,b,9437,4236
strassen,256,densa,D0,b,22476,5460
naive,256,densa,D0,c,7902,4144
strassen,256,densa,D0,c,19535,5440
naive,256,densa,D10,a,7586,4132
strassen,256,densa,D10,a,22954,5476
naive,256,densa,D10,b,8774,4120
strassen,256,densa,D10,b,22433,5484
naive,256,densa,D10,c,8698,4120
strassen,256,densa,D10,c,24218,5508
naive,256,diagonal,D0,a,5056,4116
strassen,256,diagonal,D0,a,23071,5444
naive,256,diagonal,D0,b,9138,4192
strassen,256,diagonal,D0,b,24591,5440
